iOS Emoji

by Eric Fredricksen 2016 (source code)
This'll work best in Safari; Chrome will show most of it correctly.
[dense] [descriptive]
People
💦	SPLASHING SWEAT SYMBOL	&#x1f4a6;
🌊	WATER WAVE	&#x1f30a;
Foods
🍏	GREEN APPLE	&#x1f34f;
🍎	RED APPLE	&#x1f34e;
🍐	PEAR	&#x1f350;
🍊	TANGERINE	&#x1f34a;
🍋	LEMON	&#x1f34b;
🍌	BANANA	&#x1f34c;
🍉	WATERMELON	&#x1f349;
🍇	GRAPES	&#x1f347;
🍓	STRAWBERRY	&#x1f353;
🍈	MELON	&#x1f348;
🍒	CHERRIES	&#x1f352;
🍑	PEACH	&#x1f351;
🍍	PINEAPPLE	&#x1f34d;
🍅	TOMATO	&#x1f345;
🍆	AUBERGINE	&#x1f346;
🌶	HOT PEPPER	&#x1f336;
🌽	EAR OF MAIZE	&#x1f33d;
🍠	ROASTED SWEET POTATO	&#x1f360;
🍯	HONEY POT	&#x1f36f;
🍞	BREAD	&#x1f35e;
🧀	CHEESE WEDGE	&#x1f9c0;
🍗	POULTRY LEG	&#x1f357;
🍖	MEAT ON BONE	&#x1f356;
🍤	FRIED SHRIMP	&#x1f364;
🍳	COOKING	&#x1f373;
🍔	HAMBURGER	&#x1f354;
🍟	FRENCH FRIES	&#x1f35f;
🌭	HOT DOG	&#x1f32d;
🍕	SLICE OF PIZZA	&#x1f355;
🍝	SPAGHETTI	&#x1f35d;
🌮	TACO	&#x1f32e;
🌯	BURRITO	&#x1f32f;
🍜	STEAMING BOWL	&#x1f35c;
🍲	POT OF FOOD	&#x1f372;
🍥	FISH CAKE WITH SWIRL DESIGN	&#x1f365;
🍣	SUSHI	&#x1f363;
🍱	BENTO BOX	&#x1f371;
🍛	CURRY AND RICE	&#x1f35b;
🍙	RICE BALL	&#x1f359;
🍚	COOKED RICE	&#x1f35a;
🍘	RICE CRACKER	&#x1f358;
🍢	ODEN	&#x1f362;
🍡	DANGO	&#x1f361;
🍧	SHAVED ICE	&#x1f367;
🍨	ICE CREAM	&#x1f368;
🍦	SOFT ICE CREAM	&#x1f366;
🍰	SHORTCAKE	&#x1f370;
🎂	BIRTHDAY CAKE	&#x1f382;
🍮	CUSTARD	&#x1f36e;
🍬	CANDY	&#x1f36c;
🍭	LOLLIPOP	&#x1f36d;
🍫	CHOCOLATE BAR	&#x1f36b;
🍿	POPCORN	&#x1f37f;
🍩	DOUGHNUT	&#x1f369;
🍪	COOKIE	&#x1f36a;
🍺	BEER MUG	&#x1f37a;
🍻	CLINKING BEER MUGS	&#x1f37b;
🍷	WINE GLASS	&#x1f377;
🍸	COCKTAIL GLASS	&#x1f378;
🍹	TROPICAL DRINK	&#x1f379;
🍾	BOTTLE WITH POPPING CORK	&#x1f37e;
🍶	SAKE BOTTLE AND CUP	&#x1f376;
🍵	TEACUP WITHOUT HANDLE	&#x1f375;
☕️	HOT BEVERAGE	&#x2615;&#xfe0f;
🍼	BABY BOTTLE	&#x1f37c;
🍴	FORK AND KNIFE	&#x1f374;
🍽	FORK AND KNIFE WITH PLATE	&#x1f37d;
Activity
⚽️	SOCCER BALL	&#x26bd;&#xfe0f;
🏀	BASKETBALL AND HOOP	&#x1f3c0;
🏈	AMERICAN FOOTBALL	&#x1f3c8;
⚾️	BASEBALL	&#x26be;&#xfe0f;
🎾	TENNIS RACQUET AND BALL	&#x1f3be;
🏐	VOLLEYBALL	&#x1f3d0;
🏉	RUGBY FOOTBALL	&#x1f3c9;
🎱	BILLIARDS	&#x1f3b1;
🏓	TABLE TENNIS PADDLE AND BALL	&#x1f3d3;
🏸	BADMINTON RACQUET AND SHUTTLECOCK	&#x1f3f8;
🏒	ICE HOCKEY STICK AND PUCK	&#x1f3d2;
🏑	FIELD HOCKEY STICK AND BALL	&#x1f3d1;
🏏	CRICKET BAT AND BALL	&#x1f3cf;
🏹	BOW AND ARROW	&#x1f3f9;
⛳️	FLAG IN HOLE	&#x26f3;&#xfe0f;
🎣	FISHING POLE AND FISH	&#x1f3a3;
⛸	ICE SKATE	&#x26f8;
🎿	SKI AND SKI BOOT	&#x1f3bf;
⛷	SKIER	&#x26f7;
🏂	SNOWBOARDER	&#x1f3c2;
🏄	SURFER	&#x1f3c4;
🏊	SWIMMER	&#x1f3ca;
🚣	ROWBOAT	&#x1f6a3;
🏇	HORSE RACING	&#x1f3c7;
🚴	BICYCLIST	&#x1f6b4;
🚵	MOUNTAIN BICYCLIST	&#x1f6b5;
🛀	BATH	&#x1f6c0;
🕴	MAN IN BUSINESS SUIT LEVITATING	&#x1f574;
🎗	REMINDER RIBBON	&#x1f397;
🎽	RUNNING SHIRT WITH SASH	&#x1f3bd;
🏅	SPORTS MEDAL	&#x1f3c5;
🎖	MILITARY MEDAL	&#x1f396;
🏆	TROPHY	&#x1f3c6;
🏵	ROSETTE	&#x1f3f5;
🎯	DIRECT HIT	&#x1f3af;
🎫	TICKET	&#x1f3ab;
🎟	ADMISSION TICKETS	&#x1f39f;
🎭	PERFORMING ARTS	&#x1f3ad;
🎨	ARTIST PALETTE	&#x1f3a8;
🎪	CIRCUS TENT	&#x1f3aa;
🎬	CLAPPER BOARD	&#x1f3ac;
🎤	MICROPHONE	&#x1f3a4;
🎧	HEADPHONE	&#x1f3a7;
🎼	MUSICAL SCORE	&#x1f3bc;
🎹	MUSICAL KEYBOARD	&#x1f3b9;
🎷	SAXOPHONE	&#x1f3b7;
🎺	TRUMPET	&#x1f3ba;
🎸	GUITAR	&#x1f3b8;
🎻	VIOLIN	&#x1f3bb;
🎮	VIDEO GAME	&#x1f3ae;
🎰	SLOT MACHINE	&#x1f3b0;
🎲	GAME DIE	&#x1f3b2;
🎳	BOWLING	&#x1f3b3;
Places
🚗	AUTOMOBILE	&#x1f697;
🚕	TAXI	&#x1f695;
🚙	RECREATIONAL VEHICLE	&#x1f699;
🚌	BUS	&#x1f68c;
🚎	TROLLEYBUS	&#x1f68e;
🏎	RACING CAR	&#x1f3ce;
🚓	POLICE CAR	&#x1f693;
🚑	AMBULANCE	&#x1f691;
🚒	FIRE ENGINE	&#x1f692;
🚐	MINIBUS	&#x1f690;
🚚	DELIVERY TRUCK	&#x1f69a;
🚛	ARTICULATED LORRY	&#x1f69b;
🚜	TRACTOR	&#x1f69c;
🏍	RACING MOTORCYCLE	&#x1f3cd;
🚲	BICYCLE	&#x1f6b2;
🚨	POLICE CARS REVOLVING LIGHT	&#x1f6a8;
🚔	ONCOMING POLICE CAR	&#x1f694;
🚍	ONCOMING BUS	&#x1f68d;
🚘	ONCOMING AUTOMOBILE	&#x1f698;
🚖	ONCOMING TAXI	&#x1f696;
🚡	AERIAL TRAMWAY	&#x1f6a1;
🚠	MOUNTAIN CABLEWAY	&#x1f6a0;
🚟	SUSPENSION RAILWAY	&#x1f69f;
🚃	RAILWAY CAR	&#x1f683;
🚋	TRAM CAR	&#x1f68b;
🚝	MONORAIL	&#x1f69d;
🚄	HIGH-SPEED TRAIN	&#x1f684;
🚅	HIGH-SPEED TRAIN WITH BULLET NOSE	&#x1f685;
🚈	LIGHT RAIL	&#x1f688;
🚞	MOUNTAIN RAILWAY	&#x1f69e;
🚂	STEAM LOCOMOTIVE	&#x1f682;
🚆	TRAIN	&#x1f686;
🚇	METRO	&#x1f687;
🚊	TRAM	&#x1f68a;
🚉	STATION	&#x1f689;
🚁	HELICOPTER	&#x1f681;
🛩	SMALL AIRPLANE	&#x1f6e9;
✈️	AIRPLANE	&#x2708;&#xfe0f;
🛫	AIRPLANE DEPARTURE	&#x1f6eb;
🛬	AIRPLANE ARRIVING	&#x1f6ec;
⛵️	SAILBOAT	&#x26f5;&#xfe0f;
🛥	MOTOR BOAT	&#x1f6e5;
🚤	SPEEDBOAT	&#x1f6a4;
⛴	FERRY	&#x26f4;
🛳	PASSENGER SHIP	&#x1f6f3;
🚀	ROCKET	&#x1f680;
🛰	SATELLITE	&#x1f6f0;
💺	SEAT	&#x1f4ba;
⚓️	ANCHOR	&#x2693;&#xfe0f;
🚧	CONSTRUCTION SIGN	&#x1f6a7;
⛽️	FUEL PUMP	&#x26fd;&#xfe0f;
🚏	BUS STOP	&#x1f68f;
🚦	VERTICAL TRAFFIC LIGHT	&#x1f6a6;
🚥	HORIZONTAL TRAFFIC LIGHT	&#x1f6a5;
🗺	WORLD MAP	&#x1f5fa;
🚢	SHIP	&#x1f6a2;
🎡	FERRIS WHEEL	&#x1f3a1;
🎢	ROLLER COASTER	&#x1f3a2;
🎠	CAROUSEL HORSE	&#x1f3a0;
🏗	BUILDING CONSTRUCTION	&#x1f3d7;
🌁	FOGGY	&#x1f301;
🗼	TOKYO TOWER	&#x1f5fc;
🏭	FACTORY	&#x1f3ed;
⛲️	FOUNTAIN	&#x26f2;&#xfe0f;
🎑	MOON VIEWING CEREMONY	&#x1f391;
⛰	MOUNTAIN	&#x26f0;
🏔	SNOW CAPPED MOUNTAIN	&#x1f3d4;
🗻	MOUNT FUJI	&#x1f5fb;
🌋	VOLCANO	&#x1f30b;
